Startup_Name,Industry,Initial_Funding_USD,Founder_Experience_Years,Team_Size,Target_Market_Size,Revenue_Model,Marketing_Spend_USD,Innovation_Index,Investor_Interest_Score,Success
Walter-Jones,Travel,296663.5628124571,10,31,1,Commission,137728,0.25,0.57,0
Fox-Baker,Gaming,54141.083985250014,5,49,5,Advertising,79125,0.8,0.3,0
Hill-Burton,E-commerce,116476.91829218934,6,33,3,Freemium,72523,0.35,0.66,0
Higgins-Grant,Travel,1883768.7615549255,15,8,3,One-time Purchase,160510,0.96,0.24,1
Miller and Sons,EdTech,97131.47255948918,4,35,4,Commission,113413,0.91,0.98,1
Nichols PLC,E-commerce,41424.18460202011,8,25,3,Freemium,5872,0.65,0.74,1
"Wood, Smith and Todd",Gaming,116294.27229126457,13,12,3,One-time Purchase,93112,0.45,0.89,1
"Washington, Ward and Maxwell",AI/ML,86088.46035798447,1,2,3,Advertising,39216,1.0,0.6,0
Riley-Jackson,E-commerce,2270131.5455855094,11,48,2,One-time Purchase,191172,0.92,0.35,1
Young LLC,FoodTech,208998.10841603225,5,23,4,One-time Purchase,114466,0.61,0.73,0
Lang Ltd,HealthTech,49039.97436682929,10,29,3,Commission,168009,0.89,0.72,1
Hicks-Cole,RealEstate,2097063.4417958735,3,50,1,Freemium,24989,0.16,0.5,0
Young PLC,Gaming,2059064.7058016565,6,24,4,Commission,10363,0.81,0.24,1
Frederick PLC,Gaming,50774.4160329355,4,49,2,Advertising,50600,0.76,0.97,1
"Compton, Ibarra and Meyer",FinTech,1868188.1508404843,9,50,3,Advertising,109200,0.98,0.36,1
Ryan-Potts,E-commerce,5503864.5501160575,3,41,2,Freemium,25636,0.57,0.45,1
Wilson Ltd,HealthTech,1029131.1232083051,1,28,4,Advertising,39179,0.81,0.54,0
Hughes-Thornton,Travel,221987.91217293552,11,43,3,Commission,158470,0.17,0.24,0
Mcdonald-Acevedo,Travel,5182287.369627195,14,17,4,Commission,95813,0.78,0.45,1
"Schroeder, Brooks and Parsons",EdTech,56525.65105736821,14,11,1,Subscription,53403,0.79,0.25,0
Boyd LLC,Gaming,827666.6853389136,15,40,4,One-time Purchase,46260,0.75,0.58,1
"Sanchez, Hicks and Manning",AI/ML,90119.7490652268,7,27,2,One-time Purchase,81902,0.81,0.92,1
Johnson PLC,HealthTech,52194.40466788935,3,29,2,Subscription,86796,0.16,0.82,0
Sanchez-Goodman,EdTech,425168.65559461794,6,16,4,Commission,10168,0.2,0.83,0
"Sanchez, Miller and Morales",FinTech,272151.34344300366,3,21,4,Subscription,155426,0.94,0.13,0
Cook Ltd,HealthTech,4568667.751745183,9,40,3,Freemium,62026,0.14,0.47,0
"Charles, Sanchez and Edwards",EdTech,4940806.649949852,3,19,4,Freemium,25481,0.74,0.87,1
Hart Group,Gaming,414508.585025393,2,36,2,Subscription,72713,0.85,0.5,0
"Schmidt, Moreno and Johnson",E-commerce,1804627.9977398154,3,29,2,Subscription,112130,0.63,0.12,0
"Harris, Jordan and Howell",HealthTech,110708.52521622232,13,3,1,Commission,76241,0.84,0.32,1
Villegas LLC,FinTech,504522.6701357149,15,15,4,Advertising,177077,0.3,0.15,0
Flores Ltd,Gaming,4303766.946284883,2,42,5,Advertising,112682,0.11,0.48,0
"White, Jones and Willis",FinTech,599046.8291859457,10,8,2,Subscription,178501,0.75,0.64,1
Anderson-Moore,RealEstate,41142.30040229504,3,36,2,Subscription,78875,0.47,0.49,0
Acosta PLC,RealEstate,5566727.296976386,12,21,5,Subscription,156434,0.15,0.87,1
Porter Inc,Travel,54895.0457058525,11,22,5,Freemium,192038,0.44,0.74,1
Mendez and Sons,FinTech,5409132.060878664,10,13,1,Advertising,7441,0.33,0.41,1
Williams-Austin,HealthTech,268558.8959371776,3,20,4,Freemium,20637,0.35,0.22,0
Davenport-Herrera,FoodTech,225723.4033311416,6,5,5,Commission,5956,0.18,0.17,0
Heath Ltd,HealthTech,496737.01398237166,0,29,5,Freemium,190669,0.74,0.43,0
"Johnson, Smith and Graves",FoodTech,4896645.262672882,13,33,4,Freemium,109394,0.43,0.85,1
"Small, Grimes and Gardner",HealthTech,99189.39943166649,12,17,4,Subscription,27581,0.34,0.41,0
Hendrix-Kerr,Gaming,267009.9189182971,14,20,3,Advertising,159370,0.12,0.9,0
Morrison-Hall,RealEstate,507927.3862825974,4,43,5,Commission,160486,0.35,0.83,0
"Johnson, Holmes and Salas",Travel,245248.2099952928,11,46,5,One-time Purchase,189935,0.32,0.54,0
"Wood, Hoffman and Larsen",Gaming,1137334.320601474,14,43,2,Freemium,17026,0.95,0.47,1
"Carter, Allen and Vega",RealEstate,447486.9474223665,15,6,5,Advertising,43923,0.42,0.45,1
"Brewer, Lopez and Rojas",HealthTech,513836.0502383985,3,24,4,Advertising,143958,0.59,0.21,0
Lozano Inc,FoodTech,232519.83802756248,3,14,3,Freemium,185630,0.45,0.82,0
Liu Group,EdTech,54277.90853140082,1,10,2,Subscription,184303,0.91,0.23,0
"Green, Villarreal and Davis",Gaming,4838469.2882047165,3,21,3,Commission,179929,0.14,0.72,0
"Walker, Mahoney and Castro",E-commerce,45476.10898138803,14,43,4,Freemium,82706,0.16,0.6,0
"Mcdonald, Simpson and Wade",RealEstate,899398.7969327128,8,8,1,Advertising,7666,0.61,0.41,0
Avila Inc,RealEstate,1648222.5754297255,0,2,1,Advertising,121466,0.59,0.86,0
"Smith, Gardner and Madden",AI/ML,117832.28758676811,1,22,3,Commission,187818,0.25,0.38,0
Tran-Booker,AI/ML,95586.7416344167,15,45,2,Advertising,13644,0.51,0.43,0
Martinez Group,HealthTech,4139033.8824226866,13,9,1,Subscription,80599,0.36,0.78,1
"Lee, Kaiser and Fuller",Travel,84787.70104855728,9,12,5,Advertising,14995,0.5,0.67,1
Shepherd and Sons,FinTech,88994.22845198351,11,50,2,Subscription,64063,0.83,0.57,1
"Alexander, Williams and Miller",AI/ML,1108370.2911758018,7,34,2,Freemium,150395,0.75,0.47,0
"Lopez, Rodgers and Weber",HealthTech,1169810.6347423194,11,22,2,One-time Purchase,160154,0.97,0.26,1
"Williams, Caldwell and Pham",RealEstate,477816.7249251507,2,14,3,Advertising,36422,0.85,0.73,1
"Alexander, Smith and Hamilton",E-commerce,87774.169580424,9,21,2,Subscription,181659,0.7,0.19,0
Manning-Mahoney,HealthTech,43790.81352105787,6,46,2,Advertising,18702,0.31,0.18,0
Anderson-Mills,Gaming,87894.19294014631,5,5,4,Freemium,155230,0.15,0.62,0
Sanchez Ltd,HealthTech,2279481.3421544633,1,42,2,One-time Purchase,10298,1.0,0.53,1
Robinson LLC,FinTech,2229360.919447682,5,17,2,Advertising,186352,0.44,0.39,0
"Powers, Barnett and Lynch",FinTech,41712.28607333524,8,35,2,Commission,96040,0.9,0.76,1
Weaver-Rodriguez,EdTech,596697.3309412089,13,21,3,Subscription,16004,0.45,0.86,1
"Munoz, Moore and Porter",EdTech,215100.66277194745,4,29,2,Subscription,73149,0.45,0.41,0
"Lee, Anderson and Wilson",AI/ML,1188294.5487076717,6,16,3,Commission,190276,0.99,0.82,1
Harrison Inc,FinTech,244204.89360755475,10,29,5,Commission,131502,0.39,0.96,1
Huffman-Sullivan,FinTech,269273.9438659199,7,10,1,Advertising,94334,0.65,0.47,0
Sanders-Ballard,Gaming,2389776.709713839,5,16,3,One-time Purchase,192619,0.93,0.83,1
"Ortiz, Howard and Perry",EdTech,99518.63019342118,10,48,5,One-time Purchase,32667,0.13,0.1,0
Daniels and Sons,FoodTech,54291.77344190133,9,27,3,Commission,65303,0.5,0.24,0
"Taylor, Armstrong and Wolfe",Travel,2167353.2604276063,5,34,2,Advertising,133237,0.69,0.44,0
"Henderson, Scott and Chandler",FinTech,488253.34728314634,0,22,3,One-time Purchase,30584,0.18,0.75,0
Turner Ltd,FinTech,1768161.8451725119,0,49,1,Commission,103525,0.23,0.33,0
Cole LLC,Gaming,241511.44029955406,6,35,1,One-time Purchase,67117,0.54,0.76,0
"Washington, Aguirre and Brock",FinTech,94421.39661682611,5,2,3,Freemium,41525,0.73,0.57,0
Tran Group,RealEstate,1048223.9001909827,11,37,4,Commission,38934,0.83,0.17,1
"Golden, Hayes and Johnson",FoodTech,280068.5392148604,13,13,1,One-time Purchase,197993,0.79,0.85,1
Martinez LLC,AI/ML,1958109.4763342275,2,27,5,One-time Purchase,44958,0.27,0.56,0
Juarez-Gonzalez,RealEstate,1974046.377381851,7,30,3,Subscription,69619,0.41,0.96,1
Mitchell-Thomas,FoodTech,201685.35142510696,10,28,3,Commission,69894,0.56,0.31,0
Smith-Bell,RealEstate,45739.27368512425,0,50,3,Advertising,175110,0.51,0.16,0
"Miller, Sampson and Miller",EdTech,1670905.891207179,5,9,4,Subscription,80203,0.33,0.18,0
"Woods, Jackson and Weeks",RealEstate,80274.51238352574,11,22,1,Advertising,193111,0.59,0.45,0
Baker Inc,Gaming,113201.01567915206,8,43,5,One-time Purchase,80193,0.82,0.51,1
Murphy PLC,FoodTech,500177.04443323764,5,5,1,Commission,26069,0.89,0.53,0
Yates-Sanders,RealEstate,41892.910143166504,11,12,4,One-time Purchase,33849,0.45,0.66,0
Gardner-Young,E-commerce,95229.82546757603,14,40,3,Subscription,56980,0.4,0.74,1
"Bell, Wood and Terry",RealEstate,1121255.5065303908,14,9,2,Advertising,125235,0.24,0.62,0
Rhodes-Foster,HealthTech,115229.56227062109,4,11,4,Commission,64644,0.59,0.94,1
Dunlap PLC,FinTech,2105236.832644741,15,32,1,Commission,139062,0.49,0.9,1
Anderson LLC,Gaming,59244.867067945976,0,21,3,Subscription,95123,0.68,0.59,0
Smith Ltd,E-commerce,2025268.1125292664,3,12,2,Advertising,194407,0.72,0.27,0
Bell Group,AI/ML,229849.30912553988,7,37,3,Subscription,12702,0.86,0.97,1
"Nash, Schmidt and Simpson",FoodTech,230286.39523305278,11,15,2,One-time Purchase,42904,0.92,0.75,1
Mccoy-Thomas,Travel,40042.22077810481,5,49,5,Advertising,197449,0.98,0.32,1
Gordon-Williams,FoodTech,1080317.6586189312,11,4,2,Subscription,155291,0.64,0.48,1
Brown Group,FoodTech,90877.24079994026,1,19,3,Subscription,34141,0.17,0.13,0
"Collins, Barr and Lee",AI/ML,5149874.225408449,6,48,1,Subscription,97997,0.79,0.94,1
"Hendricks, Whitehead and Jones",Gaming,517008.0261574627,10,49,4,Subscription,32422,0.96,0.7,1
Porter PLC,Travel,5939812.6922174,8,17,1,Commission,51012,0.76,0.22,1
Rogers Inc,HealthTech,59334.17958744978,0,29,1,One-time Purchase,82643,0.48,0.36,0
"Guerrero, Smith and Marks",HealthTech,1073761.572513555,12,20,5,Advertising,151404,0.2,0.21,0
Adams PLC,Gaming,211810.2663360316,1,21,4,One-time Purchase,112264,0.16,0.95,0
Ward-Goodwin,E-commerce,105552.45488050529,3,17,4,Freemium,124876,0.35,0.19,0
Miller Group,RealEstate,907691.1335012323,12,46,3,Freemium,45956,0.85,0.34,1
Lyons Group,HealthTech,2036805.337867786,7,39,3,One-time Purchase,185250,0.61,0.55,1
Harvey-Ellis,RealEstate,4079616.856621623,15,23,1,Freemium,144199,0.92,0.85,1
"Clark, Villegas and Richardson",Travel,4660645.029750232,11,3,4,Subscription,163316,0.31,0.41,1
Hernandez Group,Gaming,581769.1340267021,2,47,2,Commission,58067,0.37,0.78,0
Carroll-Barber,Travel,430144.8506631432,3,22,1,One-time Purchase,186456,0.97,1.0,1
Dixon-King,FoodTech,596387.4450320425,14,37,4,Subscription,180769,0.45,0.79,1
"Thompson, Chung and Taylor",E-commerce,88611.51196780178,4,45,5,One-time Purchase,97626,0.93,0.72,1
Beard and Sons,AI/ML,1128381.3338771833,4,8,2,Freemium,103602,0.95,0.34,0
"Shaw, Lopez and Novak",RealEstate,865182.6278002044,2,15,3,Freemium,181902,0.61,0.17,0
Price Group,FinTech,4319187.269068087,12,33,2,Freemium,83959,0.77,0.11,1
Jacobson Ltd,E-commerce,82765.42533702195,8,11,1,Advertising,110495,0.88,0.57,1
Jackson-Garcia,HealthTech,261222.75890427915,6,22,1,Freemium,188414,0.14,0.34,0
"Crawford, Hernandez and Martin",RealEstate,254960.29996524638,6,3,1,Commission,58756,0.65,0.46,0
Crawford-Fischer,FinTech,1151881.570220199,12,20,2,Freemium,168922,0.37,0.5,0
Yang LLC,FoodTech,40081.600858470585,2,18,2,Advertising,142391,0.9,0.75,0
"Contreras, Henderson and Edwards",Gaming,47360.23190297287,6,49,1,Subscription,193157,0.86,0.89,1
"Garcia, Garcia and Powers",E-commerce,109244.45734430262,9,45,1,Commission,76240,0.44,0.5,0
"Russell, Bryan and Weaver",HealthTech,5731343.669452413,2,41,3,Advertising,155488,0.28,0.98,1
Torres LLC,HealthTech,43953.413987415704,1,42,4,Subscription,56520,0.85,0.5,0
"Wolfe, Kaufman and Davis",Gaming,970133.2825015492,5,28,2,Advertising,42165,0.38,0.68,0
Rose-Thomas,FinTech,5704566.471955752,5,44,1,Subscription,152550,0.59,0.1,1
Collins Inc,RealEstate,1082740.0703107475,1,40,1,One-time Purchase,164524,0.7,0.85,0
"Washington, Lopez and Weiss",AI/ML,229218.69337624888,3,11,4,One-time Purchase,117688,0.68,0.23,0
Bradley PLC,E-commerce,102566.11783760063,13,29,4,One-time Purchase,165565,0.13,0.57,0
Nguyen-Miller,Travel,200550.95854426664,9,38,3,Advertising,34256,0.37,0.6,0
Johnson LLC,AI/ML,92439.3050342376,6,15,5,Subscription,110749,0.44,0.43,0
"Martinez, Cooper and Lopez",FinTech,108522.73718128726,8,24,2,Commission,95441,0.18,0.21,0
"Miller, Baker and Wright",Gaming,206107.6820846797,12,6,4,Commission,125819,0.28,0.38,0
Brown LLC,FoodTech,4565249.848989258,1,26,4,One-time Purchase,13971,0.56,0.54,1
White Inc,E-commerce,490406.8593348557,11,22,4,Advertising,98415,0.35,0.9,1
"Parker, Greer and Castillo",EdTech,53470.26128041582,10,24,2,Advertising,65815,0.53,0.83,1
"Kim, Baker and Allen",FoodTech,5635060.5623141965,10,7,4,Freemium,166852,0.45,0.93,1
Johnson PLC,AI/ML,5159276.026830145,9,28,5,Commission,128098,0.78,0.46,1
"Hensley, Thomas and Brown",HealthTech,517621.6619620213,15,43,3,One-time Purchase,21894,0.19,0.25,0
"Baker, Le and Garcia",FoodTech,81506.51623040988,5,12,5,Freemium,156761,0.63,0.23,0
Cox PLC,Travel,42751.653844115535,11,40,2,One-time Purchase,46620,0.15,0.4,0
"Coleman, Gibson and Moore",RealEstate,599405.5471271368,14,20,5,Advertising,52785,0.43,0.13,0
Hansen Inc,HealthTech,434171.2056072851,7,29,2,One-time Purchase,140819,0.53,0.58,0
"Bell, Guzman and Gross",FinTech,1115232.1041924744,5,13,4,Freemium,155657,0.12,0.43,0
Watkins-Jones,HealthTech,49215.70499634069,6,33,5,Subscription,69542,0.51,0.1,0
Anderson-Lewis,AI/ML,268509.6575364919,13,37,5,Commission,31684,0.79,0.91,1
Bates LLC,E-commerce,893672.4366218703,1,29,4,One-time Purchase,37317,0.61,0.88,0
Phillips Group,HealthTech,5191659.882995636,11,46,3,Subscription,25077,0.59,0.91,1
Rivera-Smith,Gaming,118752.0807396128,8,29,1,One-time Purchase,151662,0.22,0.69,0
Medina Ltd,Gaming,1038462.5149690447,15,33,1,One-time Purchase,56633,0.13,0.15,0
Briggs-Preston,Gaming,2123843.46681363,8,45,3,Advertising,159080,0.61,0.59,1
"Poole, Woods and Paul",FinTech,209339.32155362432,10,3,1,Commission,177481,0.41,0.59,0
"Davis, Goodwin and Zimmerman",AI/ML,104520.44353897762,15,24,3,Commission,48496,0.21,0.79,0
Thomas LLC,RealEstate,83607.69447588614,5,29,1,Freemium,103644,0.51,0.91,0
Williams-Mendoza,FinTech,801397.6775178764,5,45,3,Subscription,174880,0.2,0.74,0
"Avila, Mitchell and Mayer",RealEstate,441268.4349533059,6,36,2,One-time Purchase,23205,0.97,0.48,1
Moses-Hinton,RealEstate,115667.12458163382,10,8,3,Advertising,144373,0.57,0.78,1
Richardson Ltd,FoodTech,52192.07064516045,14,47,1,Freemium,154895,0.13,0.89,0
"Chen, Conrad and Sanchez",FoodTech,1903975.5652982518,2,33,5,One-time Purchase,21218,0.19,0.22,0
Holland-Harris,Travel,2070988.52163251,3,23,3,Advertising,27325,0.26,0.91,0
Li Inc,FoodTech,40398.939775127095,14,41,1,One-time Purchase,105140,0.63,0.56,1
Donovan-Martin,EdTech,416277.3989567233,0,44,3,Commission,191677,0.2,0.96,0
Hartman-Norman,HealthTech,211649.41706674703,9,40,5,Freemium,104778,0.11,0.98,0
"Williams, Long and Greene",HealthTech,204376.27281670718,4,31,2,Freemium,192815,0.92,0.95,1
Lowery-Turner,Travel,47194.648150875815,0,24,4,Freemium,32098,0.36,0.84,0
Juarez Inc,FinTech,41756.29497280419,4,47,4,Commission,194053,0.26,0.12,0
Moore-Meyers,E-commerce,249510.26516795994,15,3,4,Freemium,120602,0.95,0.54,1
Allen Ltd,Travel,40380.80060306181,7,15,2,Subscription,108459,0.19,0.51,0
Mason-Hill,FinTech,257199.10576441052,6,6,2,Commission,106444,0.35,0.94,0
Nelson-Wood,HealthTech,92183.97922367578,12,32,3,Subscription,137060,0.41,0.14,0
Mcclure-Hill,FinTech,216508.92774179135,8,14,2,One-time Purchase,21575,0.41,0.87,0
Taylor Ltd,FinTech,99396.95247205274,9,27,3,Advertising,92741,0.6,0.44,0
"Pierce, Short and Wade",AI/ML,1134506.0559130493,6,8,2,Advertising,6381,0.55,0.63,0
"Neal, Green and Nguyen",Gaming,1011406.2334277413,5,26,5,Commission,178906,0.18,0.9,0
Simmons and Sons,RealEstate,410677.57090481813,11,11,1,Subscription,77970,0.42,0.29,0
Wilson LLC,Travel,515441.1784129274,15,37,3,Freemium,195529,0.5,0.84,1
"Simmons, Mills and Morgan",EdTech,213162.34418095177,8,12,4,Advertising,6919,0.73,0.86,1
Coleman and Sons,FinTech,4176820.4229546767,1,6,4,Subscription,95866,0.53,0.28,0
Short-Campbell,RealEstate,256046.8048772942,5,34,2,Subscription,44909,0.67,0.14,0
Rubio-Watkins,RealEstate,238136.66465059196,11,38,1,Advertising,197308,0.68,0.13,0
Brown PLC,E-commerce,59198.5427627446,8,17,3,Subscription,106245,0.75,0.99,1
Blackwell-Robinson,EdTech,59377.02197637603,0,49,3,Advertising,76614,0.7,0.51,0
"Sparks, Moyer and Brown",AI/ML,4628403.05606353,2,4,2,Freemium,102056,0.25,0.31,0
"Nielsen, Wilson and Hayes",Gaming,458559.76405691373,13,13,3,One-time Purchase,12170,0.4,0.92,1
"Cole, Sanchez and White",Travel,4861316.717971963,4,38,5,Advertising,72942,0.79,0.82,1
"Nichols, Allen and Monroe",HealthTech,498010.0855851775,8,50,5,Advertising,46585,0.38,0.8,1
Ball-Grant,AI/ML,552883.2858445933,3,20,3,Subscription,59349,0.99,0.43,1
Mcguire-Roberts,EdTech,919506.3459748123,4,41,4,Freemium,129279,0.75,0.37,0
Vasquez-Shaffer,E-commerce,973007.2254304664,4,34,5,Subscription,12607,0.29,0.1,0
"Tucker, Castillo and Richmond",Travel,2223372.6638907483,3,19,1,Advertising,123747,0.66,0.55,0
"Mosley, Lane and Watson",EdTech,5269564.308925086,1,3,5,Commission,168873,0.72,0.36,1
Torres-Gibson,E-commerce,257119.66859584645,12,19,3,One-time Purchase,105526,0.52,0.36,0
Sullivan Ltd,AI/ML,418443.9846323651,14,13,4,Commission,169981,0.92,0.96,1
"Berger, Duncan and Rivera",E-commerce,4043151.3595911465,9,27,1,Advertising,33805,0.41,0.78,1
Garcia PLC,E-commerce,5799244.791303859,4,9,3,Subscription,134163,0.52,0.43,1
"Stevens, Spence and Cisneros",FinTech,556880.1409641874,2,48,3,Subscription,5005,0.86,0.47,0
Wilkins Inc,FoodTech,972216.4928521737,11,46,3,Freemium,24692,0.47,0.18,0
"Garcia, Sutton and Mills",FinTech,53027.231436557246,1,7,5,Advertising,156416,0.84,0.47,0
"Bailey, Coleman and Dorsey",FoodTech,243127.94661997294,4,47,3,One-time Purchase,162234,0.66,0.2,0
Gilmore Ltd,FinTech,52260.63372991099,11,45,3,Advertising,110239,0.64,0.4,0
Lopez Group,E-commerce,4993167.414445849,7,6,3,Commission,188800,0.88,0.71,1
"Thomas, Schmidt and Sullivan",FoodTech,45659.82033671042,8,13,3,One-time Purchase,133260,0.49,0.47,0
Mendez Ltd,HealthTech,83936.36614638385,3,44,2,Advertising,84944,0.32,0.27,0
Brooks Group,FinTech,996446.474617473,0,50,1,Freemium,180770,0.79,0.89,0
Lawrence LLC,FinTech,2143283.9455362004,6,30,3,Subscription,155286,0.15,0.7,0
"Mcpherson, Arellano and Peterson",FinTech,2081141.728399158,4,4,2,Commission,93673,0.17,0.9,0
Rogers-Bowers,HealthTech,264780.9814558112,12,29,3,Freemium,86173,0.97,0.66,1
Byrd-Collins,FinTech,1710176.5047205307,6,7,5,Subscription,47641,0.36,0.97,1
Davis LLC,Gaming,4777195.916760291,10,5,5,One-time Purchase,199251,0.3,0.2,1
Henderson-Hunter,FoodTech,5178365.658280443,4,10,4,Freemium,84488,0.81,0.46,1
"David, Powell and Stewart",RealEstate,417708.54641058535,14,44,2,Subscription,97537,0.94,0.15,1
"Davis, Phillips and Bean",Gaming,92950.39611855985,5,41,1,Advertising,158712,0.24,0.98,0
"Graham, Scott and Newman",AI/ML,1669223.0498947778,15,7,2,Freemium,41552,0.96,0.53,1
Gray-Bullock,HealthTech,49337.4202905608,8,12,5,Advertising,6259,0.78,0.37,1
Brown Ltd,E-commerce,46377.02494194363,12,3,4,Commission,177955,0.93,0.87,1
Gray LLC,Travel,1915820.6972802158,6,15,1,One-time Purchase,196786,0.72,0.7,1
"Miller, Holmes and Brooks",HealthTech,482476.89551133243,3,33,4,Advertising,7131,0.62,0.75,0
"Tran, Howard and Oconnell",E-commerce,4457193.235760363,4,5,2,Freemium,26028,0.6,0.62,1
Garcia-Hamilton,FoodTech,110489.65721908667,13,25,3,Advertising,51354,0.85,0.43,1
Hancock-Matthews,FoodTech,4017917.912457157,10,17,4,One-time Purchase,158840,0.71,0.46,1
Morton PLC,Gaming,297526.07352307375,7,19,4,Advertising,45313,0.62,0.85,1
Cochran-Thomas,Travel,4092145.557294784,10,49,5,Freemium,125459,0.77,0.77,1
Carter LLC,Gaming,442478.52959908324,2,26,3,Advertising,137527,0.95,0.29,0
"Pearson, Hughes and Pena",FoodTech,42188.59482229802,2,6,4,Advertising,63883,0.18,0.85,0
Richardson-Norris,FoodTech,1999328.3342197929,14,10,2,Subscription,170217,0.89,0.49,1
Marshall-Brewer,E-commerce,2031409.299634109,4,48,1,Freemium,69468,1.0,0.41,1
Ortiz-Davidson,AI/ML,865452.9627027308,7,26,3,Commission,11696,0.76,0.43,1
"Brown, Chan and Kim",HealthTech,1155107.9073906245,5,13,4,Subscription,69795,0.62,0.3,0
Carter PLC,AI/ML,1984772.0777432213,3,34,2,One-time Purchase,132704,0.34,0.92,0
Ward Group,AI/ML,83914.13475601173,5,9,4,Commission,75153,0.23,0.25,0
"Lowe, Walker and Hampton",FinTech,213072.0145779511,6,24,3,Subscription,198219,0.54,0.5,0
"Hancock, Gay and Brooks",RealEstate,811643.454892654,2,4,2,Advertising,31893,0.13,0.2,0
Bailey-Williams,Travel,1096323.907073738,10,44,1,Commission,37204,0.22,0.19,0
"Martinez, King and Duncan",Gaming,40886.80463443575,3,16,2,Freemium,130749,0.23,0.81,0
"Salazar, Baxter and Evans",FinTech,5970654.922836402,6,30,3,Freemium,153692,0.52,0.45,1
"Joseph, Anderson and Wood",HealthTech,88500.16881845132,14,34,2,Advertising,152371,0.71,0.95,1
Anderson-Riggs,RealEstate,877161.788482376,4,44,2,Subscription,187239,0.25,0.34,0
Curtis-Friedman,RealEstate,58363.29829406306,15,36,2,Commission,164355,0.22,0.33,0
"Potter, Jennings and Johnson",E-commerce,58691.285218902114,0,31,1,One-time Purchase,14226,0.99,0.19,0
Brown Ltd,Travel,51017.2258383823,12,9,4,One-time Purchase,69276,0.85,0.75,1
"White, Davis and Murray",HealthTech,46553.28878952237,10,50,1,Freemium,120921,0.66,0.35,0
Sanchez PLC,Gaming,1642913.9889616137,13,49,2,One-time Purchase,127514,0.54,0.73,1
Gentry and Sons,FinTech,214495.6364903359,2,4,1,Advertising,123466,0.83,0.54,0
Torres LLC,EdTech,1108700.3562876333,2,43,1,Freemium,12610,0.34,0.4,0
Ruiz-Padilla,EdTech,5102973.03448439,5,17,2,Commission,29484,0.82,0.69,1
Rodriguez-Cannon,Gaming,4046348.395805187,9,18,4,Commission,164762,0.4,0.86,1
Manning Inc,HealthTech,5873985.997139505,2,8,2,Commission,152893,0.88,0.76,1
Medina Group,FinTech,1022774.5460041886,9,49,4,Subscription,158343,0.45,0.2,0
"Russell, Miller and Hawkins",Travel,119158.70174455768,6,50,4,Advertising,196555,0.85,0.72,1
Schroeder-Flores,RealEstate,93315.95181276626,5,2,4,Advertising,169247,0.29,0.63,0
Smith Ltd,HealthTech,806149.1234700312,4,7,2,Freemium,29016,0.96,0.49,1
"Jones, Reynolds and Davis",Travel,5643349.128001839,12,45,5,Commission,124330,0.53,0.63,1
"Rodgers, Washington and Davis",AI/ML,4166819.845665902,6,19,5,Subscription,80071,0.14,0.26,0
Taylor-Pearson,FoodTech,97460.32804265627,2,36,2,Commission,191304,0.13,0.17,0
Shannon and Sons,RealEstate,228334.53365842818,8,40,2,One-time Purchase,51782,0.28,0.88,0
Villanueva and Sons,AI/ML,4962287.700839369,13,23,4,Commission,18332,0.72,0.93,1
Contreras LLC,AI/ML,223628.08954212812,6,22,5,Subscription,173990,0.59,0.75,1
Sanchez-Parker,EdTech,276991.71466194274,13,37,1,One-time Purchase,59375,0.77,0.41,1
"Taylor, Duncan and Clark",Gaming,55875.45575562577,6,4,3,Advertising,151090,0.24,0.77,0
Brown Ltd,EdTech,299492.21023099,2,6,3,One-time Purchase,10984,0.27,0.85,0
Sanchez-Martinez,RealEstate,48759.027345918985,8,19,3,Advertising,177150,0.1,0.17,0
Rogers-Chapman,FoodTech,1657494.7240937292,6,28,5,One-time Purchase,166861,0.26,0.56,0
Coleman-Travis,FoodTech,523992.42491236987,1,41,5,Freemium,30614,0.56,0.8,0
Barber PLC,RealEstate,56811.12533321486,14,3,2,Subscription,34894,0.36,0.76,0
Wilson Inc,RealEstate,1864859.497966559,1,27,2,One-time Purchase,170287,0.86,0.87,1
"Welch, Obrien and Padilla",Travel,46639.4999472562,7,14,5,Freemium,82310,0.8,0.78,1
Deleon LLC,AI/ML,595790.648091449,8,41,5,Commission,53631,0.44,0.74,1
"Hobbs, Estrada and Li",EdTech,5150092.196212447,5,50,5,Commission,110100,0.21,0.13,0
Watkins-Marshall,Gaming,5789363.810692299,7,17,4,One-time Purchase,173517,0.28,0.51,1
Castaneda-Wiley,EdTech,1090394.9163149481,9,37,4,Subscription,27621,0.29,0.1,0
Gomez-Wright,AI/ML,93640.4668582798,10,47,3,Freemium,101100,0.9,0.5,1
Jones LLC,Travel,1903673.182320823,5,40,4,Freemium,44376,0.3,0.93,0
Martin-Brewer,HealthTech,57770.48647749297,14,28,1,Freemium,57477,0.35,0.61,0
Moran-Hudson,FinTech,557079.3290391316,8,6,5,One-time Purchase,97700,0.52,0.2,0
"Ross, Calhoun and Myers",Travel,4762356.516670853,4,47,3,Advertising,65540,0.3,0.6,1
Salazar and Sons,AI/ML,518800.02681982284,14,10,4,Freemium,72826,0.37,0.3,0
"Michael, Gray and Conner",RealEstate,526247.343942852,12,20,2,Commission,178091,0.31,0.52,0
Jones-Gallagher,FinTech,874788.3497685806,8,25,3,Advertising,150710,0.32,0.11,0
Baker-Adams,FoodTech,809164.4835707537,8,33,4,Freemium,183162,0.18,0.42,0
